Sample	MAG_name	Gene	Transcript_count	Rel_transcript_per_fam
S10_SRF	FRAM_WSC20_S10_BML_bin_107_1	GH36	6	0.146592
S10_SRF	FRAM_WSC20_S10_BML_bin_107_1	GH42	162	6.22837
S10_SRF	FRAM_WSC20_S10_BML_bin_129_1	GH141	125	68.6813
S10_SRF	FRAM_WSC20_S10_BML_bin_129_1	GH33	34	1.55535
S10_SRF	FRAM_WSC20_S10_BML_bin_14_1	GH13_11	1	1.42857
S10_SRF	FRAM_WSC20_S10_BML_bin_14_1	GH13_30	25	30.8642
S10_SRF	FRAM_WSC20_S10_BML_bin_14_1	GH2	36	0.629151
S10_SRF	FRAM_WSC20_S10_BML_bin_14_1	GH36	418	10.2126
S10_SRF	FRAM_WSC20_S10_BML_bin_157_1	CE11	7	0.0651284
S10_SRF	FRAM_WSC20_S10_BML_bin_157_1	GH103	115	1.79687
S10_SRF	FRAM_WSC20_S10_BML_bin_157_1	GH23	1	0.00781677
S10_SRF	FRAM_WSC20_S10_BML_bin_158_1	CE11	8	0.0744325
S10_SRF	FRAM_WSC20_S10_BML_bin_158_1	GH36	298	7.28072
S10_SRF	FRAM_WSC20_S10_BML_bin_158_1	GH42	137	5.2672
S10_SRF	FRAM_WSC20_S10_BML_bin_158_1	GH73	154	1.90476
S10_SRF	FRAM_WSC20_S10_BML_bin_30_1	GH1	97	2.44579
S10_SRF	FRAM_WSC20_S10_BML_bin_32_1	GH103	9	0.140625
S10_SRF	FRAM_WSC20_S10_BML_bin_36_1	GH1	10	0.252143
S10_SRF	FRAM_WSC20_S10_BML_bin_40_1	GH3	144	0.425255
S10_SRF	FRAM_WSC20_S10_BML_bin_40_1	GH73	4	0.0494743
S10_SRF	FRAM_WSC20_S10_BML_bin_46_1	CBM4	55	29.8913
S10_SRF	FRAM_WSC20_S10_BML_bin_46_1	CE11	76	0.707108
S10_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH16_3	60	1.24844
S10_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH23	108	0.844212
S10_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH3	576	1.70102
S10_SRF	FRAM_WSC20_S10_BML_bin_46_1	GH5_13	58	61.0526
S10_SRF	FRAM_WSC20_S10_BML_bin_50_1	GH4	1	0.833333
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH10	4	0.111888
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH13	457	16.7953
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH130	2	0.285307
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH13_31	253	25.504
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH149	125	1.91483
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH163	513	51.6097
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH17	84	1.8249
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH18	126	14.2857
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH20	668	9.39654
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH3	218	0.643789
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH30_1	84	2.07664
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH43	192	36.0902
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH65	191	7.60653
S10_SRF	FRAM_WSC20_S10_BML_bin_54_1	GH76	70	8.40336
S10_SRF	FRAM_WSC20_S10_BML_bin_70_1	GH1	98	2.471
S10_SRF	FRAM_WSC20_S10_BML_bin_70_1	GH103	30	0.46875
S10_SRF	FRAM_WSC20_S10_BML_bin_70_1	GH23	23	0.179786
S10_SRF	FRAM_WSC20_S10_BML_bin_72_1	GH23	106	0.828578
S10_SRF	FRAM_WSC20_S10_BML_bin_72_1	GH3	407	1.20194
S10_SRF	FRAM_WSC20_S10_BML_bin_86_1	CE11	110	1.02345
S10_SRF	FRAM_WSC20_S10_BML_bin_86_1	GH103	53	0.828125
S10_SRF	FRAM_WSC20_S10_BML_bin_86_1	GH23	21	0.164152
S10_SRF	FRAM_WSC20_S10_BML_bin_86_1	GH3	113	0.333707
S10_SRF	FRAM_WSC20_S10_BML_bin_92_1	CE11	11	0.102345
S10_SRF	FRAM_WSC20_S10_BML_bin_92_1	CE4	11	2.33051
S10_SRF	FRAM_WSC20_S10_BML_bin_92_1	GH103	42	0.65625
S10_SRF	FRAM_WSC20_S10_SRF_bin_101_1	GH1	16	0.403429
S10_SRF	FRAM_WSC20_S10_SRF_bin_115_1	CE11	93	0.865277
S10_SRF	FRAM_WSC20_S10_SRF_bin_115_1	GH103	528	8.25
S10_SRF	FRAM_WSC20_S10_SRF_bin_115_1	GH13_23	407	28.0496
S10_SRF	FRAM_WSC20_S10_SRF_bin_115_1	GH23	201	1.57117
S10_SRF	FRAM_WSC20_S10_SRF_bin_115_1	GH3	49	0.144705
S10_SRF	FRAM_WSC20_S10_SRF_bin_118_1	GH36	68	1.66137
S10_SRF	FRAM_WSC20_S10_SRF_bin_118_1	GH42	85	3.26797
S10_SRF	FRAM_WSC20_S10_SRF_bin_13_1	GH13_16	15	50
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	CBM6	69	1.55791
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	CE11	122	1.13509
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH13	148	5.43918
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH16_3	74	1.53974
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH171	29	0.793
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH2	116	2.02726
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH3	117	0.34552
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH53	3	0.9375
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH65	299	11.9076
S10_SRF	FRAM_WSC20_S10_SRF_bin_26_1	GH92	359	2.29305
S10_SRF	FRAM_WSC20_S10_SRF_bin_34_1	CE9	94	15.0883
S10_SRF	FRAM_WSC20_S10_SRF_bin_34_1	GH1	111	2.79879
S10_SRF	FRAM_WSC20_S10_SRF_bin_34_1	GH102	9	1.1465
S10_SRF	FRAM_WSC20_S10_SRF_bin_34_1	GH13_23	2	0.137836
S10_SRF	FRAM_WSC20_S10_SRF_bin_34_1	GH2	26	0.454387
S10_SRF	FRAM_WSC20_S10_SRF_bin_34_1	GH36	127	3.10286
S10_SRF	FRAM_WSC20_S10_SRF_bin_34_1	GH43_11	4	66.6667
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	CE2	107	10.3883
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	CE4	29	6.14407
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH109	232	7.13846
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH13	291	10.6946
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH130	101	14.408
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH13_31	257	25.9073
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH149	297	4.54963
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH16_3	45	0.93633
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH17	95	2.06387
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH171	79	2.16024
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH20	258	3.6292
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH3	490	1.44705
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH30_1	150	3.70828
S10_SRF	FRAM_WSC20_S10_SRF_bin_36_1	GH92	128	0.817578
S10_SRF	FRAM_WSC20_S10_SRF_bin_45_1	CE11	156	1.45143
S10_SRF	FRAM_WSC20_S10_SRF_bin_45_1	CE4	17	3.60169
S10_SRF	FRAM_WSC20_S10_SRF_bin_45_1	CE9	14	2.24719
S10_SRF	FRAM_WSC20_S10_SRF_bin_45_1	GH103	110	1.71875
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	CBM6	208	4.69632
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	CE11	210	1.95385
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	CE14	270	11.7493
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	CE2	76	7.37864
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	CE3	4	1.99005
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH10	169	4.72727
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH109	216	6.64615
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH125	144	7.37705
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH130	121	17.2611
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH16_3	344	7.15772
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH20	99	1.3926
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH3	1135	3.35184
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH5	239	13.3148
S10_SRF	FRAM_WSC20_S10_SRF_bin_49_1	GH92	1123	7.17297
S10_SRF	FRAM_WSC20_S10_SRF_bin_51_1	CE4	21	4.44915
S10_SRF	FRAM_WSC20_S10_SRF_bin_51_1	GH2	89	1.5554
S10_SRF	FRAM_WSC20_S10_SRF_bin_51_1	GH23	126	0.984914
S10_SRF	FRAM_WSC20_S10_SRF_bin_63_1	GH23	4	0.0312671
S10_SRF	FRAM_WSC20_S10_SRF_bin_65_1	CE11	42	0.39077
S10_SRF	FRAM_WSC20_S10_SRF_bin_65_1	GH23	29	0.226686
S10_SRF	FRAM_WSC20_S10_SRF_bin_65_1	GH3	390	1.15173
S10_SRF	FRAM_WSC20_S10_SRF_bin_65_1	GH36	132	3.22502
S10_SRF	FRAM_WSC20_S10_SRF_bin_65_1	GH73	350	4.329
S10_SRF	FRAM_WSC20_S10_SRF_bin_66_1	GH103	111	1.73438
S10_SRF	FRAM_WSC20_S10_SRF_bin_66_1	GH171	157	4.29314
S10_SRF	FRAM_WSC20_S10_SRF_bin_66_1	GH2	285	4.98078
S10_SRF	FRAM_WSC20_S10_SRF_bin_66_1	GH23	3	0.0234503
S10_SRF	FRAM_WSC20_S10_SRF_bin_66_1	GH3	54	0.159471
S10_SRF	FRAM_WSC20_S10_SRF_bin_66_1	GH73	100	1.23686
S10_SRF	FRAM_WSC20_S10_SRF_bin_73_1	CE11	35	0.325642
S10_SRF	FRAM_WSC20_S10_SRF_bin_73_1	CE4	35	7.41525
S10_SRF	FRAM_WSC20_S10_SRF_bin_73_1	GH171	3	0.0820345
S10_SRF	FRAM_WSC20_S10_SRF_bin_80_1	CBM6	1	0.0225785
S10_SRF	FRAM_WSC20_S10_SRF_bin_80_1	CBM67	77	19.4937
S10_SRF	FRAM_WSC20_S10_SRF_bin_80_1	CE11	94	0.874581
